#SampleID	Sample_Site	Lake	Sample_Method	Month_collected	Month_0	Replicate	Matrix	Sample_Blank	Collected_Date	Sample	qbit_conc_extraction	read_count	replicate_count	day_year	PC_R1	PC_R2	PC_R3	PE_R1	PE_R2	PE_R3	salinity
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
TSHCulw0711222	TSHCul	Tashmoo Culvert	<5	7	1	2	water	Sample	7/11/22	TSHCulw071122			1	0	2.12	1.75	2.31	0.66	0.71	0.71	31.45
TSHCulw071122WLW1)_PO	TSHCul	Tashmoo Culvert	WLW	7	1	1	water	Sample	7/11/22	TSHCulw071122WLW1)_P	0.34		1	0	2.31	1.93	2.68	0.94	1	1.1	31.45
TSHCulw071122WLW2	TSHCul	Tashmoo Culvert	WLW	7	1	2	water	Sample	7/11/22	TSHCulw071122WLW	0.342		1	0	2.31	1.93	2.68	0.94	1	1.1	31.45
TSHCulw0807221	TSHCul	Tashmoo Culvert	<5	8	2	1	water	Sample	8/7/22	TSHCulw080722	0.64		2	27	3.75	3.57	3.93	0.88	0.88	1.49	31.45
TSHCulw0807222	TSHCul	Tashmoo Culvert	<5	8	2	2	water	Sample	8/7/22	TSHCulw080722	0.562		1	27	3.75	3.57	3.93	0.88	0.88	1.49	30.48
TSHCulw080722WLW1	TSHCul	Tashmoo Culvert	WLW	8	2	1	water	Sample	8/7/22	TSHCulw080722WLW	0.806		1	27	3.75	4.48	3.02	1.32	1.6	0.49	30.48
TSHCulw080722WLW2	TSHCul	Tashmoo Culvert	WLW	8	2	2	water	Sample	8/7/22	TSHCulw080722WLW	0.33	5625	2	27	3.75	4.48	3.02	1.32	1.6	0.49	30.48
TSHCulw0821221	TSHCul	Tashmoo Culvert	<5	8	2	1	water	Sample	8/21/22	TSHCulw082122	0.47		2	41	4.56	4.93	5.12	0.94	0.83	0.88	30.48
TSHCulw0821222	TSHCul	Tashmoo Culvert	<5	8	2	2	water	Sample	8/21/22	TSHCulw082122	0.292		1	41	4.56	4.93	5.12	0.94	0.83	0.88	31.15
TSHCulw082122WLW1	TSHCul	Tashmoo Culvert	WLW	8	2	1	water	Sample	8/21/22	TSHCulw082122WLW	0.344		2	41	5.43	5.68	5.16	1.1	1	0.88	31.15
TSHCulw082122WLW2	TSHCul	Tashmoo Culvert	WLW	8	2	2	water	Sample	8/21/22	TSHCulw082122WLW	0.372		1	41	5.43	5.68	5.16	1.1	1	0.88	31.15
TSHCulw0824221	TSHCul	Tashmoo Culvert	<5	8	2	1	water	Sample	8/24/22	TSHCulw082422	0.164		1	44	2.87	2.5	2.31	0.88	0.83	1	31.3
TSHCulw0824222	TSHCul	Tashmoo Culvert	<5	8	2	2	water	Sample	8/24/22	TSHCulw082422	0.28	16376	2	44	2.87	2.5	2.31	0.88	0.83	1	31.3
TSHCulw082422WLW1	TSHCul	Tashmoo Culvert	WLW	8	2	1	water	Sample	8/24/22	TSHCulw082422WLW	0.166		1	44	1.56	1.93	1.75	1.54	0.66	0.6	31.3
TSHCulw082422WLW2	TSHCul	Tashmoo Culvert	WLW	8	2	2	water	Sample	8/24/22	TSHCulw082422WLW	0.194	4469	2	44	1.56	1.93	1.75	1.54	0.66	0.6	31.3
TSHCulw0908221	TSHCul	Tashmoo Culvert	<5	9	3	1	water	Sample	9/8/22	TSHCulw090822	0	48723	1	59	8.12	7.18	8.12	1.43	1.27	1.37	24.7
TSHCulw0908222	TSHCul	Tashmoo Culvert	<5	9	3	2	water	Sample	9/8/22	TSHCulw090822	0.178	8275	2	59	8.12	7.18	8.12	1.43	1.27	1.37	24.7
TSHCulw090822WLW1	TSHCul	Tashmoo Culvert	WLW	9	3	1	water	Sample	9/8/22	TSHCulw090822WLW	0.154	104933	1	59	8.31	7.75	7.93	1.54	1.48	1.7	24.7
TSHCulw090822WLW2	TSHCul	Tashmoo Culvert	WLW	9	3	2	water	Sample	9/8/22	TSHCulw090822WLW	0	34932	2	59	8.31	7.75	7.93	1.54	1.48	1.7	24.7
TSHSenw0711221	TSHSen	Tashmoo Sentinel	<5	7	1	1	water	Sample	7/11/22	TSHSenw071122	0.302	31357	2	0	2.12	1.93	1.55	0.6	0.55	0.6	31.45
TSHSenw0711222	TSHSen	Tashmoo Sentinel	<5	7	1	2	water	Sample	7/11/22	TSHSenw071122	0	65781	1	0	2.12	1.93	1.55	0.6	0.55	0.6	31.45
TSHSenw071122WLW1	TSHSen	Tashmoo Sentinel	WLW	7	1	1	water	Sample	7/11/22	TSHSenw071122WLW	0.716	63798	1	0	1.75	1.93	1.93	0.55	0.66	0.88	31.45
TSHSenw071122WLW2	TSHSen	Tashmoo Sentinel	WLW	7	1	2	water	Sample	7/11/22	TSHSenw071122WLW	0.13	20206	2	0	1.75	1.93	1.93	0.55	0.66	0.88	31.45
TSHSenw0807221	TSHSen	Tashmoo Sentinel	<5	8	2	1	water	Sample	8/7/22	TSHSenw080722	0.432	64736	2	27	4.3	4.67	7.24	1.71	0.83	0.83	31.68
TSHSenw0807222	TSHSen	Tashmoo Sentinel	<5	8	2	2	water	Sample	8/7/22	TSHSenw080722	0.152	729381	1	27	4.3	4.67	7.24	1.71	0.83	0.83	31.68
TSHSenw080722WLW1	TSHSen	Tashmoo Sentinel	WLW	8	2	1	water	Sample	8/7/22	TSHSenw080722WLW	0.138	55447	1	27	3.93	3.57	3.75	0.88	1	1.54	31.68
TSHSenw080722WLW2	TSHSen	Tashmoo Sentinel	WLW	8	2	2	water	Sample	8/7/22	TSHSenw080722WLW	0.126	3290	2	27	3.93	3.57	3.75	0.88	1	1.54	31.68
TSHSenw0821221	TSHSen	Tashmoo Sentinel	<5	8	2	1	water	Sample	8/21/22	TSHSenw082122	1.03	313134	2	41	4.93	4.93	5.31	1.37	1.16	1	31.48
TSHSenw0821222	TSHSen	Tashmoo Sentinel	<5	8	2	2	water	Sample	8/21/22	TSHSenw082122	0.184		1	41	4.93	4.93	5.31	1.37	1.16	1	31.48
TSHSenw082122WLW1	TSHSen	Tashmoo Sentinel	WLW	8	2	1	water	Sample	8/21/22	TSHSenw082122WLW	0		1	0	3.81	3.81	4.18	1.16	1.06	1.16	31.48
TSHSenw082122WLW2	TSHSen	Tashmoo Sentinel	WLW	8	2	2	water	Sample	8/21/22	TSHSenw082122WLW	0.288	717	2	41	3.81	3.81	4.18	1.16	1.06	1.16	31.48
TSHSenw0824221	TSHSen	Tashmoo Sentinel	<5	8	2	1	water	Sample	8/24/22	TSHSenw082422	0.282	305376	1	44	1.75	2.12	2.31	0.83	1.05	0.94	31.1
TSHSenw0824222	TSHSen	Tashmoo Sentinel	<5	8	2	2	water	Sample	8/24/22	TSHSenw082422	0.186	4415	2	44	1.75	2.12	2.31	0.83	1.05	0.94	31.1
TSHSenw082422WLW1	TSHSen	Tashmoo Sentinel	WLW	8	2	1	water	Sample	8/24/22	TSHSenw082422WLW	0	999	2	44	1.5	1.75	1.75	0.82	0.83	0.83	31.1
TSHSenw082422WLW2	TSHSen	Tashmoo Sentinel	WLW	8	2	2	water	Sample	8/24/22	TSHSenw082422WLW	0	2946	1	44	1.5	1.75	1.75	0.82	0.83	0.83	31.1
TSHSenw0908221	TSHSen	Tashmoo Sentinel	<5	9	3	1	water	Sample	9/8/22	TSHSenw090822	0	9080	2	59	8.87	8.12	8.53	1.54	1.54	1.43	28.7
TSHSenw0908222	TSHSen	Tashmoo Sentinel	<5	9	3	2	water	Sample	9/8/22	TSHSenw090822	0	32035	1	59	8.87	8.12	8.53	1.54	1.54	1.43	28.7
TSHSenw090822WLW1	TSHSen	Tashmoo Sentinel	WLW	9	3	1	water	Sample	9/8/22	TSHSenw090822WLW	0	66915	1	18	8.31	8.87	8.12	1.59	1.59	1.54	28.7
TSHSenw090822WLW2	TSHSen	Tashmoo Sentinel	WLW	9	3	2	water	Sample	9/8/22	TSHSenw090822WLW	0.1	5188	2	59	8.31	8.87	8.12	1.59	1.59	1.54	28.7
